iter	Passed	Remaining
1381	61880	50059
1382	61919	50009
1383	61957	49959
1384	61999	49912
1385	62043	49867
1386	62085	49820
1387	62125	49772
1388	62168	49725
1389	62218	49684
1390	62262	49639
1391	62305	49593
1392	62344	49544
1393	62388	49498
1394	62428	49450
1395	62473	49406
1396	62514	49358
1397	62559	49314
1398	62600	49266
1399	62648	49223
1400	62693	49178
1401	62766	49156
1402	62829	49125
1403	62872	49080
1404	62916	49034
1405	62957	48986
1406	63001	48941
1407	63043	48894
1408	63090	48851
1409	63136	48807
1410	63182	48764
1411	63228	48719
1412	63276	48677
1413	63321	48633
1414	63371	48592
1415	63419	48550
1416	63468	48508
1417	63514	48464
1418	63564	48423
1419	63603	48374
1420	63647	48329
1421	63691	48284
1422	63734	48237
1423	63781	48194
1424	63823	48147
1425	63868	48103
1426	63913	48058
1427	63958	48013
1428	64002	47968
1429	64048	47924
1430	64094	47880
1431	64140	47836
1432	64183	47790
1433	64226	47744
1434	64269	47698
1435	64314	47653
1436	64356	47606
1437	64397	47559
1438	64439	47512
1439	64479	47463
1440	64519	47415
1441	64560	47368
1442	64609	47326
1443	64652	47280
1444	64695	47234
1445	64747	47194
1446	64793	47150
1447	64853	47117
1448	64893	47069
1449	64935	47022
1450	64975	46974
1451	65015	46925
1452	65054	46876
1453	65092	46827
1454	65136	46782
1455	65179	46735
1456	65221	46688
1457	65266	46644
1458	65309	46598
1459	65354	46553
1460	65396	46507
1461	65441	46462
1462	65484	46416
1463	65525	46369
1464	65568	46323
1465	65609	46276
1466	65650	46228
1467	65692	46181
1468	65736	46136
1469	65777	46088
1470	65815	46039
1471	65857	45992
1472	65900	45946
1473	65940	45899
1474	65984	45853
1475	66021	45803
1476	66064	45757
1477	66109	45713
1478	66155	45668
1479	66198	45623
1480	66245	45580
1481	66290	45535
1482	66337	45492
1483	66379	45445
1484	66416	45395
1485	66458	45349
1486	66505	45306
1487	66538	45253
1488	66577	45204
1489	66613	45154
1490	66654	45106
1491	66691	45056
1492	66731	45009
1493	66773	44962
1494	66814	44915
1495	66867	44876
1496	66922	44838
1497	66980	44802
1498	67034	44764
1499	67086	44724
1500	67141	44686
1501	67190	44644
1502	67239	44602
1503	67285	44558
1504	67331	44514
1505	67369	44465
1506	67411	44419
1507	67463	44379
1508	67503	44331
1509	67546	44285
1510	67593	44242
1511	67643	44201
1512	67689	44157
1513	67744	44118
1514	67787	44073
1515	67833	44029
1516	67880	43985
1517	67924	43940
1518	67971	43897
1519	68016	43852
1520	68059	43806
1521	68103	43761
1522	68151	43718
1523	68243	43704
1524	68312	43675
1525	68390	43651
1526	68473	43631
1527	68558	43611
1528	68632	43585
1529	68695	43552
1530	68774	43528
1531	68845	43500
1532	68926	43478
1533	68995	43447
1534	69055	43412
1535	69128	43385
1536	69187	43348
1537	69257	43319
1538	69327	43290
1539	69395	43259
1540	69476	43236
1541	69546	43207
1542	69612	43174
1543	69748	43186
1544	69836	43167
1545	69902	43135
1546	69977	43108
1547	70052	43081
1548	70121	43050
1549	70191	43020
1550	70254	42986
1551	70329	42958
1552	70393	42924
1553	70451	42887
1554	70497	42842
1555	70544	42798
1556	70589	42752
1557	70635	42707
1558	70683	42664
1559	70732	42620
1560	70782	42578
1561	70829	42534
1562	70874	42488
1563	70920	42443
1564	70967	42399
1565	71009	42351
1566	71054	42306
1567	71096	42258
1568	71144	42215
1569	71188	42168
1570	71234	42124
1571	71281	42079
1572	71322	42031
1573	71361	41982
1574	71404	41935
1575	71448	41890
1576	71491	41843
1577	71529	41793
1578	71567	41743
1579	71610	41697
1580	71650	41648
1581	71691	41600
1582	71732	41552
1583	71777	41507
1584	71820	41461
1585	71865	41415
1586	71912	41371
1587	71953	41323
1588	71996	41276
1589	72043	41232
1590	72086	41186
1591	72132	41140
1592	72176	41094
1593	72222	41049
1594	72264	41002
1595	72314	40960
1596	72367	40919
1597	72422	40879
1598	72480	40841
1599	72535	40801
1600	72591	40761
1601	72647	40722
1602	72694	40678
1603	72738	40632
1604	72785	40587
1605	72827	40540
1606	72867	40492
1607	72906	40443
1608	72955	40399
1609	72995	40351
1610	73042	40306
1611	73083	40259
1612	73123	40211
1613	73177	40170
1614	73221	40124
1615	73263	40077
1616	73307	40031
1617	73350	39984
1618	73398	39940
1619	73452	39900
1620	73501	39856
1621	73548	39812
1622	73594	39767
1623	73637	39720
1624	73681	39674
1625	73726	39628
1626	73770	39583
1627	73821	39540
1628	73875	39500
1629	73930	39459
1630	73986	39420
1631	74036	39377
1632	74087	39334
1633	74141	39293
1634	74190	39250
1635	74250	39212
1636	74306	39173
1637	74357	39130
1638	74404	39086
1639	74463	39047
1640	74510	39003
1641	74561	38961
1642	74617	38921
1643	74672	38880
1644	74725	38839
1645	74778	38797
1646	74827	38753
1647	74883	38713
1648	74934	38671
1649	74996	38634
1650	75057	38596
1651	75117	38558
1652	75167	38516
1653	75220	38474
1654	75277	38434
1655	75332	38393
1656	75397	38358
1657	75457	38320
1658	75515	38281
1659	75563	38237
1660	75613	38193
1661	75663	38150
1662	75708	38104
